outcome,outcome_label,outcome_unit,pool,pool_label,anomes,actual_value,synth_value,effect_value,actual_index,synth_index,effect_index
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202303,1843.0,1905.507457855639,-62.5074578556389,86.16175783076204,89.08403262532207,-2.9222747945600247
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202304,1893.0,1934.14696354044,-41.14696354044008,88.49929873772791,90.42295294719216,-1.923654209464246
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202305,1969.0,1965.3250690735197,3.674930926480556,92.05236091631603,91.8805548888976,0.1718060274184409
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202306,1947.0,1956.139525199592,-9.139525199591844,91.02384291725105,91.45112319773688,-0.4272802804858315
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202307,2072.0,1983.125400859825,88.87459914017495,96.86769518466572,92.71273496305868,4.154960221607055
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202308,2076.0,1997.8941895431344,78.10581045686558,97.054698457223,93.40318791693008,3.651510540292918
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202309,2090.0,2013.08807923004,76.91192076996026,97.70920991117345,94.11351469051144,3.5956952206620088
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202310,1992.0,2009.1580238217337,-17.15802382173365,93.12762973352034,93.92978138484028,-0.8021516513199458
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202311,1906.0,1954.2484093915525,-48.248409391552514,89.10705937353903,91.36271198651484,-2.2556526129758225
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202312,1933.0,1946.09194624395,-13.091946243950131,90.3693314633006,90.98139066124124,-0.6120591979406385
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202401,1921.0,1957.879338086689,-36.87933808668868,89.8083216456288,91.53246087361798,-1.724139227989184
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202402,1966.0,1972.4239399457172,-6.423939945717393,91.91210846189809,92.2124329100382,-0.300324448140131
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202403,1913.0,1956.7035735651093,-43.70357356510931,89.43431510051425,91.47749292029496,-2.043177819780709
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202404,1922.0,1994.2913029245065,-72.29130292450623,89.85507246376811,93.23475001984602,-3.379677556077908
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202405,2057.0,2032.0947360695527,24.90526393044729,96.16643291257596,95.00209144785192,1.1643414647240462
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202406,2106.0,2100.9474820514074,5.052517948592595,98.45722300140253,98.22101365364225,0.2362093477602798
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202407,2148.0,2136.010793826744,11.989206173256209,100.42075736325388,99.86025216581316,0.5605051974407047
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202408,2185.0,2158.404730943709,26.595269056290817,102.1505376344086,100.90718704739172,1.2433505870168773
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202409,2163.0,2144.5065122817773,18.493487718222696,101.12201963534362,100.2574339542673,0.8645856810763206
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202410,2139.0,2139.0,0.0,100.0,100.0,0.0
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202411,2115.0,2135.484370919879,-20.484370919878984,98.87798036465638,99.83564146422997,-0.9576610995735848
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202412,2079.0,2121.34164837127,-42.34164837126991,97.19495091164096,99.17445761436512,-1.9795067027241515
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202501,1951.0,2017.8978183272409,-66.89781832724088,91.21084618980832,94.33837392834224,-3.127527738533928
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,rs,Rio Grande do Sul,202502,1920.0,2015.3578540192343,-95.35785401923432,89.76157082748948,94.21962851889828,-4.458057691408811
